text_a,label,entity
Says the Annies List political group supports third-trimester abortions on demand.,1,"dwayne-bohac,state representative,republican,texas,abortion"
When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,2,"scott-surovell,state delegate,democrat,virginia,energy,history,job-accomplishments"
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",3,"barack-obama,president,democrat,illinois,foreign-policy"
Health care reform legislation is likely to mandate free sex change surgeries.,1,"blog-posting,unk,none,unk,health-care"
The economic turnaround started at the end of my term.,2,"charlie-crist,unk,democrat,florida,economy,jobs"
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,5,"robin-vos,wisconsin assembly speaker,republican,wisconsin,education"
Jim Dunnam has not lived in the district he represents for years now.,0,"republican-party-texas,unk,republican,texas,candidates-biography"
"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",2,"barack-obama,president,democrat,illinois,ethics"
"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",2,"oregon-lottery,unk,organization,unk,jobs"
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,3,"duey-stroebel,state representative,republican,wisconsin,energy,message-machine-2014,voting-record"
"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",3,"robert-menendez,u.s. senator,democrat,new jersey,elections"
"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",2,"bernie-s,u.s. senator,independent,vermont,economy,jobs,new-hampshire-2012,poverty"
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",1,"mitt-romney,former governor,republican,massachusetts,history,state-budget"
The economy bled $24 billion due to the government shutdown.,3,"doonesbury,unk,none,unk,economy,federal-budget,health-care"
Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,0,"george-will,columnist,columnist,maryland,health-care"
"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",2,"bernie-s,u.s. senator,independent,vermont,elections"
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,5,"barack-obama,president,democrat,illinois,federal-budget"
"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",0,"national-republican-congressional-committee,unk,republican,unk,federal-budget"
"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",2,"gwen-moore,u.s. house member -- 4th district,democrat,wisconsin,financial-regulation,foreign-policy,water"
"Almost 100,000 people left Puerto Rico last year.",3,"jack-lew,treasury secretary ,democrat,washington, d.c. ,bankruptcy,economy,population"
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,1,"dennis-richardson,state representative,republican,oregon,economy,income"
The United States has the highest corporate tax rate in the free world.,3,"eric-bolling,co-host on fox news channel's ""the five"",none,unk,corporations,taxes"
We just had the best year for the auto industry in America in history.,3,"hillary-clinton,presidential candidate,democrat,new york,economy"
"Says Scott Walker favors cutting up to 350,000 families and children off health care.",2,"greater-wisconsin-political-fund,unk,none,wisconsin,health-care,message-machine"
Says Mitt Romney wants to get rid of Planned Parenthood.,0,"planned-parenthood-action-fund,advocacy group,none,washington, d.c.,abortion,federal-budget,health-care"
I dont know who (Jonathan Gruber) is.,1,"nancy-pelosi,house minority leader,democrat,california,health-care"
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,3,"hillary-clinton,presidential candidate,democrat,new york,crime,diversity,homeland-security,terrorism"
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,2,"ted-nugent,musician,republican,texas,candidates-biography"
"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",1,"pamela-geller,president of american freedom defense intitiative,activist,new york,technology,terrorism"
Youth unemployment in minority communities is about 40 to 45 percent.,3,"peter-kinder,lieutenant governor,republican,missouri,diversity,economy,jobs"
Says Paul Ryan is still endorsing Trump.,5,"hillary-clinton,presidential candidate,democrat,new york,candidates-biography,elections,campaign-advertising"
"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",0,"nicholas-kettle,state senator,republican,rhode island,economy,labor,states,unions,workers"
What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,1,"shelley-moore-capito,u.s. house of representative,republican,west virginia,climate-change,energy,environment,government-regulation"
We cut business taxes so today 70 percent of our businesses dont pay a business tax.,3,"rick-scott,governor,republican,florida,small-business,taxes"
Says Mark Pryor votes with Obama 93 percent of the time.,3,"tom-cotton,u.s. house of representatives,republican,arkansas,bipartisanship,voting-record"
We have a federal government that thinks they have the authority to regulate our toilet seats.,5,"ted-cruz,senator,republican,texas,consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers"
Austin is a city that has basically doubled in size every 25 years or so since it was founded.,5,"lee-leffingwell,austin mayor,democrat,texas,city-government,population"
"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",5,"north-korea,unk,none,unk,military"
"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",4,"walking-dead,unk,none,unk,health-care,pop-culture"
"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",5,"kelly-ayotte,u.s. senator,republican,new hampshire,debt"
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,1,"marco-rubio,u.s. senator,republican,florida,legal-issues,supreme-court"
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,2,"keep-promise-1-pac,unk,republican,unk,military,voting-record"
"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",4,"national-republican-congressional-committee,unk,republican,unk,energy,stimulus"
Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,4,"rachel-maddow,msnbc host,none,unk,abortion,pundits,women"
