text_a,label
"""COVID-19 started because we eat animals.""",4
Says Michelle Obama has 43 people on her staff; Nancy Reagan had just 3.,2
"Says President Donald Trump ""has signed more laws cutting through federal red tape than any president in American history and has already saved businesses and families up to $18 billion in red tape costs every year.""",1
"""US representatives promise implement of UN gun-control plans""",4
"""The federal government borrows $4 billion every day.""",3
"""U.S. teenagers have now fallen behind their counterparts in Ireland, Poland and even Vietnam in math and science.""",3
"Says a drug test can be performed for ""just $4 or $5.""",3
"""The United States is the ONLY industrialized country without universal healthcare.""",0
"""Hillary's main extracurricular activity in law school was helping the Black Panthers, on trial in Connecticut for torturing and killing a federal agent.""",5
"Says Ohio Gov. John Kasich is ""very unpopular.""",5
"John McCain said ""he wouldn't even sit down with the government of Spain, a NATO ally that has troops in Afghanistan with us now.""",4
"""Thirty-five states have accepted high-speed intercity rail money.""",1
"Says ""black Americans have 10 times less wealth than white Americans.""",3
"Prescription drugs ""are nearly 20 percent of our health care costs now when you include hospital prescription drugs.""",3
"""If we make no changes over the next 10 years, Americans will reach into their pockets and pay out about $11 trillion on insurance premiums, copays, deductibles and uncovered medical expenses.""",0
"Says ""for the equivalent cost of a single mile of freeway, we have a bike infrastructure.""",3
"Says he ""will put a moratorium on tax hikes to keep families in their homes.""",1
"""While Mayor Kenney personally doesn't support DROP, he can't fault highly qualified city employees for appropriately utilizing a benefit that's available to them.""",5
"Says 3.5 million U.S. citizens lost their employer-tied health insurance in March, while zero lost their coverage in 20 other large nations combined.",3
Says legislative debate of airport pat-down procedures initiated federal changes in security procedures.,5
"Says a photo of a woman wearing a costume holding the sign ""vagina lady"" is Stanford law professor Pamela Karlan.",5
"""I am the only candidate who ran in either the Democratic or the Republican primary who said from the very beginning (that) I will not raise taxes on the middle class.""",2
"It is a ""myth"" that ""per-student funding only rose by 47 cents this year.""",4
"""The F-35 bombers, scheduled to arrive in Burlington this fall, have been designated with a nuclear mission.""",4
"Donald Trump says ""all Mexicans are rapists.""",5
"Undocumented immigrants ""pay $12 billion a year into Social Security.""",1
"""There are currently 6 million jobs available in this country that are due in part to the skills gap.""",0
"""There are billboards in Central America in the Northern Triangle countries advertising how to grab a kid to get into the United States illegally.""",5
An HIV-positive Cadbury worker has been arrested after contaminating products with his blood.,2
"Nevada is ""still a state that is 80 percent white voters.""",5
Says Kay Bailey Hutchison voted for sanctuary cities.,5
"""Over 80 percent of our trade deficit today is with countries that are not trade agreement partners, that are not level playing fields for the United States.""",3
"""The Notebook is finally getting a sequel. Producers of the upcoming film confirmed .... that filming will begin in Jacksonville, North Carolina this summer.""",2
Says the military accounts for about 10 percent of Florida's economy.,0
"""Every (personhood) bill I’ve ever support has either had language that says we’re conforming to the constitutional rulings of the Supreme Court or something to that effect.""",5
"“Bernie Sanders wants free health care for all and was asked how he would pay for it. His answer was raise taxes to 52% on anybody making over $29,000 per year.”",5
"Says President Donald Trump said asylum seekers ""aren't people. These are animals.""",5
"The NFL is ""getting massive tax breaks.""",3
"""We have the lowest per-capita spending of any state in the nation"" except for South Dakota.",3
"""$100,000 in  stimulus funds (were) used for a Martini Bar and Brazilian Steakhouse.""",3
"""Last year, I stopped an Obamacare bailout and saved taxpayers $2.5 billion.""",4
"""There are more words in the IRS code than there are in the Bible.""",0
"""Heitkamp has voted against Trump 68 percent of time.""",4
"Young women, ""account for a shocking 74% of all new HIV infections among adolescents in Africa.""",3
"Says he ""won the popular vote if you deduct the millions of people who voted illegally.""",2
"""President Donald Trump signed DEPLOYMENT ORDERS for the 82nd Airborne Division of the United States Army, instructing them to deploy from Ft. Bragg, NC, to the U.S. southern border at Mexico.""",5
"""Prince William May Not Attend Royal Wedding Leaving Harry Without a Best Man; Princess Diana Would Not Be Happy""",2
"We've ""lifted high school graduation rates to new highs.""",1
"""Nobody knows about it, nobody talks about it, but under Obama, millions of people have been moved out of this country, they've been deported.""",1
"""Today and every day, an estimated 14,000 Americans will lose their health insurance coverage.""",5
"""Expanding Medicaid would create 63k jobs.""",1
Georgia has saved $20 million through changes in criminal sentencing.,0
"Says ""the number of Americans living at or below the poverty line is at its highest level since"" 1964.",3
"Says his ""patents in ultrasound have revolutionized modern medicine.""",2
"Says that had E-Verify been in place in Florida when 9/11 terrorists lived here, ""we might have saved the lives of 3,000 Americans.""",2
"""Bay Area liberals have given more to Jon Ossoff's campaign than people in Georgia.""",5
"""Despite what you may have heard about Wisconsin’s finances, Wisconsin is on track to have a budget surplus this year.""",5
"Says Hillary Clinton ""is under investigation with the FBI right now.""",1
"The Bush administration's latest plans for troop withdrawal from Iraq by 2011 are ""more or less the same time frame I announced two years ago.""",3
“Three Chinese nationals were apprehended trying to cross our Southern border illegally. Each had flu-like symptoms. Border Patrol quickly quarantined them and assessed any threat of coronavirus.”,3
"""No president in history has imposed larger personal lifestyle costs on the taxpayer than Donald Trump.""",4
"""Our national debt is as low as it has been since World War II.""",5
"""Our own National Security Agency says that (Iran's) nuclear ambitions are advancing, and at the same time ... we are slashing our own nuclear arsenal.""",3
"""We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' """,5
"""When Nancy Nusbaum was Brown County executive, spending went up nearly 50 percent.""",3
"Says Red Cross President and CEO Marsha J. Evans makes ""$651,957 plus expenses"" a year and ""only 9 cents of every dollar"" donated to the organization goes to helping people in need.",5
"""In 1916, the U.S. government predicted that by the 1940s all paper would come from hemp and that no more trees would need to be cut down.""",5
"""I think what the authors of the (25th) Amendment principally had in mind was some kind of physical incapacitation or serious mental illness or a breakdown, an inability to function in office.""",0
"Says Chuck Hagel has called for ""an end to our nuclear program.""",4
"Says ex-Lt. Gov. Evelyn Sanguinetti ""publicly did not stand in opposition to"" former Gov. Bruce Rauner’s decision to sign a bill that expanded the public funding of abortions in Illinois.",5
"""Technically, (Ted Cruz is) not even an American.""",2
"""You know what Truman said, ‘You want a friend in Washington, buy a dog.’ """,5
"Says Mitch McConnell pushed ""the Wall Street bailout through the U.S. Senate"" and called it ""the Senate at its finest.""",3
"Says Congressman Jack Kingston voted to ""raise his pay seven times.""",4
"""Texas is experiencing the fastest population growth in the country,"" adding ""more than 1,000 people a day.""",3
"""No other public or private business in America"" except for the U.S. Postal Service must fund 100 percent of employee retirement and retirement health costs in advance.",3
"""Obama admin gutted @ProjChildSafe budget to provide trigger locks and safety kits.""",5
On tax increases.,1
